algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,375,291,80,80,1.0000
IDENTITY,values,292,333,80,80,1.0000
IDENTITY,combined,291,291,160,160,1.0000
TS_2DIFF,timestamps,8417,10208,80,15,0.1875
TS_2DIFF,values,8084,11333,80,82,1.0250
TS_2DIFF,combined,6917,17458,160,99,0.6188
GORILLA,timestamps,62625,42667,80,83,1.0375
GORILLA,values,13666,12000,80,69,0.8625
GORILLA,combined,14459,13542,160,150,0.9375
BIT_PACKING,timestamps,10875,10125,80,57,0.7125
BIT_PACKING,values,16083,15125,80,84,1.0500
BIT_PACKING,combined,6208,6958,160,163,1.0188
RLE,timestamps,3958,3208,80,138,1.7250
RLE,values,4083,3125,80,158,1.9750
RLE,combined,7833,6000,160,296,1.8500
HUFFMAN,timestamps,88000,33583,80,112,1.4000
HUFFMAN,values,150458,48250,80,306,3.8250
HUFFMAN,combined,111875,70500,160,427,2.6688
DICTIONARY,timestamps,14042,9542,80,168,2.1000
DICTIONARY,values,37417,25417,80,168,2.1000
DICTIONARY,combined,64459,47250,160,328,2.0500
