algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,417,250,40,40,1.0000
IDENTITY,values,292,250,40,40,1.0000
IDENTITY,combined,292,292,80,80,1.0000
TS_2DIFF,timestamps,3875,5542,40,10,0.2500
TS_2DIFF,values,6125,7333,40,42,1.0500
TS_2DIFF,combined,6958,10125,80,54,0.6750
GORILLA,timestamps,13083,14958,40,45,1.1250
GORILLA,values,9083,8459,40,39,0.9750
GORILLA,combined,14042,12542,80,80,1.0000
BIT_PACKING,timestamps,6709,6958,40,31,0.7750
BIT_PACKING,values,8875,8958,40,45,1.1250
BIT_PACKING,combined,5166,15959,80,84,1.0500
RLE,timestamps,2208,1750,40,68,1.7000
RLE,values,2417,1792,40,80,2.0000
RLE,combined,4166,3166,80,148,1.8500
HUFFMAN,timestamps,53333,18834,40,71,1.7750
HUFFMAN,values,87500,26541,40,174,4.3500
HUFFMAN,combined,76250,37250,80,232,2.9000
DICTIONARY,timestamps,7458,7209,40,88,2.2000
DICTIONARY,values,7917,5708,40,88,2.2000
DICTIONARY,combined,9333,8125,80,168,2.1000
