encoder,compressor,target,encode_time_ns,compress_time_ns,decompress_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,final_size_bytes,encoding_ratio,final_ratio
TS_2DIFF,GZIP,timestamps,12416,10500,12917,19708,160,27,31,0.1688,0.1938
TS_2DIFF,GZIP,values,16458,22250,15166,15916,160,160,183,1.0000,1.1438
TS_2DIFF,GZIP,combined,7958,14209,12500,12500,320,191,210,0.5969,0.6563
TS_2DIFF,SNAPPY,timestamps,2625,1042,833,6333,160,27,15,0.1688,0.0938
TS_2DIFF,SNAPPY,values,6167,1000,791,10750,160,160,164,1.0000,1.0250
TS_2DIFF,SNAPPY,combined,5333,1000,750,9959,320,191,182,0.5969,0.5688
TS_2DIFF,LZ4,timestamps,2458,1292,750,5208,160,27,23,0.1688,0.1438
TS_2DIFF,LZ4,values,3708,1417,708,6125,160,160,166,1.0000,1.0375
TS_2DIFF,LZ4,combined,5375,1417,667,11209,320,191,183,0.5969,0.5719
TS_2DIFF,ZLIB,timestamps,2625,5333,3875,6084,160,27,19,0.1688,0.1188
TS_2DIFF,ZLIB,values,3791,8500,2625,5917,160,160,171,1.0000,1.0688
TS_2DIFF,ZLIB,combined,3000,9250,3083,9375,320,191,198,0.5969,0.6188
GORILLA,GZIP,timestamps,26292,11584,10292,37792,160,157,163,0.9813,1.0188
GORILLA,GZIP,values,23458,13584,8417,14833,160,128,151,0.8000,0.9438
GORILLA,GZIP,combined,19208,14209,9750,24000,320,286,299,0.8938,0.9344
GORILLA,SNAPPY,timestamps,10875,1042,833,12292,160,157,161,0.9813,1.0063
GORILLA,SNAPPY,values,9333,959,750,13125,160,128,132,0.8000,0.8250
GORILLA,SNAPPY,combined,18167,958,2000,23083,320,286,291,0.8938,0.9094
GORILLA,LZ4,timestamps,9500,1416,708,12125,160,157,163,0.9813,1.0188
GORILLA,LZ4,values,8917,1458,667,11959,160,128,134,0.8000,0.8375
GORILLA,LZ4,combined,24042,1542,708,23333,320,286,293,0.8938,0.9156
GORILLA,ZLIB,timestamps,12750,8125,2542,12417,160,157,151,0.9813,0.9438
GORILLA,ZLIB,values,8500,7833,3125,11625,160,128,139,0.8000,0.8688
GORILLA,ZLIB,combined,25375,15875,3791,33750,320,286,287,0.8938,0.8969
RLE,GZIP,timestamps,8584,8834,8083,11333,160,276,92,1.7250,0.5750
RLE,GZIP,values,9708,13500,9084,12167,160,318,243,1.9875,1.5188
RLE,GZIP,combined,26084,23000,18333,32209,320,594,306,1.8563,0.9563
RLE,SNAPPY,timestamps,11750,1459,1292,15125,160,276,123,1.7250,0.7688
RLE,SNAPPY,values,12750,1542,1250,16375,160,318,286,1.9875,1.7875
RLE,SNAPPY,combined,34542,1875,1250,29125,320,594,396,1.8563,1.2375
RLE,LZ4,timestamps,10834,1833,917,13667,160,276,101,1.7250,0.6313
RLE,LZ4,values,11625,2166,875,15250,160,318,292,1.9875,1.8250
RLE,LZ4,combined,21417,2125,875,27875,320,594,384,1.8563,1.2000
RLE,ZLIB,timestamps,10708,8917,2541,13625,160,276,80,1.7250,0.5000
RLE,ZLIB,values,11625,12584,5292,4083,160,318,231,1.9875,1.4438
RLE,ZLIB,combined,5500,16042,5916,7584,320,594,294,1.8563,0.9188
