algorithm,target,compress_time_ns,decompress_time_ns,original_size_bytes,compressed_size_bytes,compression_ratio
IDENTITY,timestamps,333,250,120,120,1.0000
IDENTITY,values,250,292,120,120,1.0000
IDENTITY,combined,250,291,240,240,1.0000
GZIP,timestamps,14000,14125,120,65,0.5417
GZIP,values,10333,15708,120,143,1.1917
GZIP,combined,11250,10666,240,192,0.8000
SNAPPY,timestamps,958,917,120,70,0.5833
SNAPPY,values,959,750,120,123,1.0250
SNAPPY,combined,916,791,240,188,0.7833
LZ4,timestamps,1292,708,120,73,0.6083
LZ4,values,1291,625,120,126,1.0500
LZ4,combined,1375,708,240,190,0.7917
ZLIB,timestamps,5917,2666,120,53,0.4417
ZLIB,values,7500,2458,120,131,1.0917
ZLIB,combined,16459,3125,240,180,0.7500
