algorithm,target,compress_time_ns,decompress_time_ns,original_size_bytes,compressed_size_bytes,compression_ratio
IDENTITY,timestamps,333,292,40,40,1.0000
IDENTITY,values,292,250,40,40,1.0000
IDENTITY,combined,250,250,80,80,1.0000
GZIP,timestamps,9416,11875,40,39,0.9750
GZIP,values,8167,14875,40,63,1.5750
GZIP,combined,10083,11750,80,82,1.0250
SNAPPY,timestamps,1042,1042,40,30,0.7500
SNAPPY,values,917,750,40,42,1.0500
SNAPPY,combined,916,791,80,66,0.8250
LZ4,timestamps,1208,750,40,33,0.8250
LZ4,values,1250,666,40,46,1.1500
LZ4,combined,1250,708,80,70,0.8750
ZLIB,timestamps,5333,2750,40,27,0.6750
ZLIB,values,6042,2542,40,51,1.2750
ZLIB,combined,6458,2917,80,70,0.8750
