algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,333,250,200,200,1.0000
IDENTITY,values,416,291,200,200,1.0000
IDENTITY,combined,291,291,400,400,1.0000
TS_2DIFF,timestamps,9958,27250,200,30,0.1500
TS_2DIFF,values,8958,26750,200,200,1.0000
TS_2DIFF,combined,7834,34875,400,232,0.5800
GORILLA,timestamps,39542,20416,200,200,1.0000
GORILLA,values,14916,14791,200,164,0.8200
GORILLA,combined,23917,31208,400,407,1.0175
BIT_PACKING,timestamps,24125,24000,200,134,0.6700
BIT_PACKING,values,7375,8583,200,202,1.0100
BIT_PACKING,combined,13791,16291,400,399,0.9975
RLE,timestamps,11125,7500,200,346,1.7300
RLE,values,9958,7959,200,398,1.9900
RLE,combined,18709,14875,400,744,1.8600
HUFFMAN,timestamps,142958,57459,200,233,1.1650
HUFFMAN,values,201916,108875,200,659,3.2950
HUFFMAN,combined,244458,163042,400,889,2.2225
DICTIONARY,timestamps,30917,22625,200,408,2.0400
DICTIONARY,values,22500,19416,200,408,2.0400
DICTIONARY,combined,23792,21042,400,808,2.0200
