algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,292,250,40,40,1.0000
IDENTITY,values,375,250,40,40,1.0000
IDENTITY,combined,417,250,80,80,1.0000
TS_2DIFF,timestamps,3708,5625,40,10,0.2500
TS_2DIFF,values,6167,7375,40,42,1.0500
TS_2DIFF,combined,6709,9750,80,54,0.6750
GORILLA,timestamps,13084,16167,40,45,1.1250
GORILLA,values,10292,9791,40,40,1.0000
GORILLA,combined,13750,13417,80,82,1.0250
BIT_PACKING,timestamps,6875,29458,40,31,0.7750
BIT_PACKING,values,8917,9042,40,45,1.1250
BIT_PACKING,combined,18416,18834,80,84,1.0500
RLE,timestamps,2250,1750,40,68,1.7000
RLE,values,2334,1792,40,80,2.0000
RLE,combined,4125,3166,80,148,1.8500
HUFFMAN,timestamps,66750,24208,40,71,1.7750
HUFFMAN,values,91625,27083,40,163,4.0750
HUFFMAN,combined,67167,39792,80,238,2.9750
DICTIONARY,timestamps,7542,5375,40,88,2.2000
DICTIONARY,values,7166,5417,40,88,2.2000
DICTIONARY,combined,11875,8875,80,168,2.1000
