encoder,compressor,target,encode_time_ns,compress_time_ns,decompress_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,final_size_bytes,encoding_ratio,final_ratio
TS_2DIFF,GZIP,timestamps,25667,41417,28375,20917,120,22,31,0.1833,0.2583
TS_2DIFF,GZIP,values,10084,13083,14042,20000,120,119,142,0.9917,1.1833
TS_2DIFF,GZIP,combined,24416,36958,18250,14291,240,145,165,0.6042,0.6875
TS_2DIFF,SNAPPY,timestamps,2208,1000,833,4916,120,22,24,0.1833,0.2000
TS_2DIFF,SNAPPY,values,3125,958,792,5500,120,119,122,0.9917,1.0167
TS_2DIFF,SNAPPY,combined,27250,1375,875,8458,240,145,141,0.6042,0.5875
TS_2DIFF,LZ4,timestamps,2666,1292,750,4292,120,22,23,0.1833,0.1917
TS_2DIFF,LZ4,values,3167,1417,708,6750,120,119,125,0.9917,1.0417
TS_2DIFF,LZ4,combined,4500,1458,709,9500,240,145,142,0.6042,0.5917
TS_2DIFF,ZLIB,timestamps,5042,5542,2667,5584,120,22,19,0.1833,0.1583
TS_2DIFF,ZLIB,values,3208,7750,2583,4917,120,119,130,0.9917,1.0833
TS_2DIFF,ZLIB,combined,4250,8542,3000,8500,240,145,153,0.6042,0.6375
GORILLA,GZIP,timestamps,73500,50500,43250,102125,120,118,131,0.9833,1.0917
GORILLA,GZIP,values,27291,14833,12709,15333,120,99,122,0.8250,1.0167
GORILLA,GZIP,combined,19958,17875,13917,24958,240,217,236,0.9042,0.9833
GORILLA,SNAPPY,timestamps,10166,1334,1041,12667,120,118,121,0.9833,1.0083
GORILLA,SNAPPY,values,8375,5000,875,10375,120,99,102,0.8250,0.8500
GORILLA,SNAPPY,combined,14292,875,792,20000,240,217,221,0.9042,0.9208
GORILLA,LZ4,timestamps,9916,1875,917,13167,120,118,124,0.9833,1.0333
GORILLA,LZ4,values,9542,1916,1000,13542,120,99,105,0.8250,0.8750
GORILLA,LZ4,combined,19250,1959,958,26458,240,217,223,0.9042,0.9292
GORILLA,ZLIB,timestamps,7958,9750,2875,9667,120,118,119,0.9833,0.9917
GORILLA,ZLIB,values,7125,6750,2000,8833,120,99,110,0.8250,0.9167
GORILLA,ZLIB,combined,14208,9459,2708,16625,240,217,224,0.9042,0.9333
RLE,GZIP,timestamps,6417,7417,7250,8334,120,206,77,1.7167,0.6417
RLE,GZIP,values,6625,10792,8375,8916,120,240,190,2.0000,1.5833
RLE,GZIP,combined,14334,13250,10917,16625,240,446,254,1.8583,1.0583
RLE,SNAPPY,timestamps,6417,1000,834,8500,120,206,98,1.7167,0.8167
RLE,SNAPPY,values,7791,1041,791,8916,120,240,231,2.0000,1.9250
RLE,SNAPPY,combined,30125,1459,917,18417,240,446,312,1.8583,1.3000
RLE,LZ4,timestamps,6583,1375,708,8000,120,206,81,1.7167,0.6750
RLE,LZ4,values,7041,1458,709,8833,120,240,235,2.0000,1.9583
RLE,LZ4,combined,12750,3125,666,16291,240,446,305,1.8583,1.2708
RLE,ZLIB,timestamps,6583,7125,2167,8333,120,206,65,1.7167,0.5417
RLE,ZLIB,values,8250,9584,4208,2791,120,240,178,2.0000,1.4833
RLE,ZLIB,combined,13458,11208,4750,4666,240,446,242,1.8583,1.0083
