algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,334,291,120,120,1.0000
IDENTITY,values,333,292,120,120,1.0000
IDENTITY,combined,334,292,240,240,1.0000
TS_2DIFF,timestamps,8791,14292,120,20,0.1667
TS_2DIFF,values,9084,16416,120,121,1.0083
TS_2DIFF,combined,10416,25541,240,143,0.5958
GORILLA,timestamps,21834,19333,120,122,1.0167
GORILLA,values,22750,11542,120,102,0.8500
GORILLA,combined,14458,17666,240,247,1.0292
BIT_PACKING,timestamps,14208,14500,120,82,0.6833
BIT_PACKING,values,4833,5375,120,124,1.0333
BIT_PACKING,combined,8500,9834,240,242,1.0083
RLE,timestamps,5625,4459,120,206,1.7167
RLE,values,6833,4709,120,240,2.0000
RLE,combined,11583,9000,240,446,1.8583
HUFFMAN,timestamps,96666,34875,120,149,1.2417
HUFFMAN,values,99750,65209,120,441,3.6750
HUFFMAN,combined,155209,102875,240,597,2.4875
DICTIONARY,timestamps,22500,13250,120,248,2.0667
DICTIONARY,values,20334,15125,120,248,2.0667
DICTIONARY,combined,35000,26333,240,488,2.0333
