encoder,compressor,target,encode_time_ns,compress_time_ns,decompress_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,final_size_bytes,encoding_ratio,final_ratio
TS_2DIFF,GZIP,timestamps,5583,9500,12916,9334,40,12,32,0.3000,0.8000
TS_2DIFF,GZIP,values,14291,10125,13000,13292,40,40,63,1.0000,1.5750
TS_2DIFF,GZIP,combined,9042,11125,14667,14625,80,56,79,0.7000,0.9875
TS_2DIFF,SNAPPY,timestamps,3167,1000,833,5084,40,12,14,0.3000,0.3500
TS_2DIFF,SNAPPY,values,4750,1000,834,6292,40,40,42,1.0000,1.0500
TS_2DIFF,SNAPPY,combined,6333,1000,792,9542,80,56,58,0.7000,0.7250
TS_2DIFF,LZ4,timestamps,3083,1334,750,5042,40,12,17,0.3000,0.4250
TS_2DIFF,LZ4,values,4083,1292,708,5916,40,40,46,1.0000,1.1500
TS_2DIFF,LZ4,combined,6375,1375,750,9667,80,56,62,0.7000,0.7750
TS_2DIFF,ZLIB,timestamps,2292,5167,2667,5625,40,12,20,0.3000,0.5000
TS_2DIFF,ZLIB,values,4042,6083,2625,7417,40,40,51,1.0000,1.2750
TS_2DIFF,ZLIB,combined,4875,6416,2667,6500,80,56,67,0.7000,0.8375
GORILLA,GZIP,timestamps,22750,13375,12250,29375,40,41,64,1.0250,1.6000
GORILLA,GZIP,values,21417,16833,17041,26333,40,35,58,0.8750,1.4500
GORILLA,GZIP,combined,18917,28417,29917,17750,80,76,99,0.9500,1.2375
GORILLA,SNAPPY,timestamps,71083,2125,1084,10708,40,41,43,1.0250,1.0750
GORILLA,SNAPPY,values,4959,958,791,4375,40,35,37,0.8750,0.9250
GORILLA,SNAPPY,combined,5375,917,792,7167,80,76,79,0.9500,0.9875
GORILLA,LZ4,timestamps,3083,1375,750,4542,40,41,47,1.0250,1.1750
GORILLA,LZ4,values,3083,1291,750,3833,40,35,41,0.8750,1.0250
GORILLA,LZ4,combined,5458,1333,709,6625,80,76,82,0.9500,1.0250
GORILLA,ZLIB,timestamps,5375,6333,2667,4500,40,41,52,1.0250,1.3000
GORILLA,ZLIB,values,3458,5916,2542,4208,40,35,46,0.8750,1.1500
GORILLA,ZLIB,combined,5583,10917,2458,6666,80,76,87,0.9500,1.0875
RLE,GZIP,timestamps,2834,7208,7666,3542,40,68,48,1.7000,1.2000
RLE,GZIP,values,3042,8042,6708,3708,40,80,89,2.0000,2.2250
RLE,GZIP,combined,5416,10458,7083,6167,80,148,114,1.8500,1.4250
RLE,SNAPPY,timestamps,2667,958,791,3208,40,68,46,1.7000,1.1500
RLE,SNAPPY,values,7083,1458,1125,4959,40,80,80,2.0000,2.0000
RLE,SNAPPY,combined,19667,1667,1166,8459,80,148,116,1.8500,1.4500
RLE,LZ4,timestamps,3458,1750,917,4375,40,68,40,1.7000,1.0000
RLE,LZ4,values,3791,1959,958,4709,40,80,85,2.0000,2.1250
RLE,LZ4,combined,7209,1959,875,8375,80,148,117,1.8500,1.4625
RLE,ZLIB,timestamps,3750,8375,2833,4625,40,68,36,1.7000,0.9000
RLE,ZLIB,values,4667,8375,2834,4875,40,80,77,2.0000,1.9250
RLE,ZLIB,combined,6666,9209,3166,5500,80,148,102,1.8500,1.2750
