algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,333,250,80,80,1.0000
IDENTITY,values,333,291,80,80,1.0000
IDENTITY,combined,291,291,160,160,1.0000
TS_2DIFF,timestamps,8334,10458,80,15,0.1875
TS_2DIFF,values,7792,10875,80,81,1.0125
TS_2DIFF,combined,7000,16958,160,98,0.6125
GORILLA,timestamps,17958,13875,80,83,1.0375
GORILLA,values,13417,12291,80,70,0.8750
GORILLA,combined,22792,12958,160,167,1.0438
BIT_PACKING,timestamps,9708,10000,80,57,0.7125
BIT_PACKING,values,14667,14875,80,84,1.0500
BIT_PACKING,combined,6833,7333,160,163,1.0188
RLE,timestamps,4209,3125,80,138,1.7250
RLE,values,5084,3292,80,160,2.0000
RLE,combined,7792,6208,160,298,1.8625
HUFFMAN,timestamps,282375,76667,80,112,1.4000
HUFFMAN,values,74625,45417,80,307,3.8375
HUFFMAN,combined,105541,72500,160,422,2.6375
DICTIONARY,timestamps,12792,9250,80,168,2.1000
DICTIONARY,values,13667,9167,80,168,2.1000
DICTIONARY,combined,23417,16959,160,328,2.0500
