encoder,compressor,target,encode_time_ns,compress_time_ns,decompress_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,final_size_bytes,encoding_ratio,final_ratio
TS_2DIFF,GZIP,timestamps,5417,9708,12875,8750,40,12,32,0.3000,0.8000
TS_2DIFF,GZIP,values,9166,9750,12833,13250,40,40,63,1.0000,1.5750
TS_2DIFF,GZIP,combined,9041,11416,15166,15667,80,56,79,0.7000,0.9875
TS_2DIFF,SNAPPY,timestamps,29792,7000,1917,23208,40,12,14,0.3000,0.3500
TS_2DIFF,SNAPPY,values,4500,958,750,7250,40,40,42,1.0000,1.0500
TS_2DIFF,SNAPPY,combined,21000,1291,916,9208,80,56,58,0.7000,0.7250
TS_2DIFF,LZ4,timestamps,2958,1209,667,4667,40,12,17,0.3000,0.4250
TS_2DIFF,LZ4,values,9959,3834,2125,14208,40,40,46,1.0000,1.1500
TS_2DIFF,LZ4,combined,9750,3959,2416,23666,80,56,62,0.7000,0.7750
TS_2DIFF,ZLIB,timestamps,8750,14458,7708,10791,40,12,20,0.3000,0.5000
TS_2DIFF,ZLIB,values,5208,16333,7417,12792,40,40,51,1.0000,1.2750
TS_2DIFF,ZLIB,combined,6584,18084,7500,14125,80,56,67,0.7000,0.8375
GORILLA,GZIP,timestamps,35334,29375,24000,42125,40,41,64,1.0250,1.6000
GORILLA,GZIP,values,11833,12833,13084,12916,40,36,59,0.9000,1.4750
GORILLA,GZIP,combined,17917,14250,14583,22916,80,78,101,0.9750,1.2625
GORILLA,SNAPPY,timestamps,11250,1375,1084,7833,40,41,43,1.0250,1.0750
GORILLA,SNAPPY,values,7709,1291,1084,5666,40,36,38,0.9000,0.9500
GORILLA,SNAPPY,combined,10125,1333,1084,10166,80,78,81,0.9750,1.0125
GORILLA,LZ4,timestamps,5083,1875,1042,6167,40,41,47,1.0250,1.1750
GORILLA,LZ4,values,3542,1541,833,3584,40,36,42,0.9000,1.0500
GORILLA,LZ4,combined,6542,1375,708,7583,80,78,84,0.9750,1.0500
GORILLA,ZLIB,timestamps,3667,6000,2333,4417,40,41,52,1.0250,1.3000
GORILLA,ZLIB,values,3875,5791,2250,3708,40,36,47,0.9000,1.1750
GORILLA,ZLIB,combined,8208,7000,2209,7250,80,78,89,0.9750,1.1125
RLE,GZIP,timestamps,2583,7042,7334,3250,40,68,48,1.7000,1.2000
RLE,GZIP,values,2833,9083,8584,3792,40,80,86,2.0000,2.1500
RLE,GZIP,combined,4750,8584,6375,5958,80,148,112,1.8500,1.4000
RLE,SNAPPY,timestamps,2416,916,750,3083,40,68,46,1.7000,1.1500
RLE,SNAPPY,values,2542,1000,750,3417,40,80,80,2.0000,2.0000
RLE,SNAPPY,combined,5041,959,792,5958,80,148,116,1.8500,1.4500
RLE,LZ4,timestamps,2458,1250,667,3084,40,68,40,1.7000,1.0000
RLE,LZ4,values,2625,1250,667,3667,40,80,85,2.0000,2.1250
RLE,LZ4,combined,4750,1334,667,6125,80,148,117,1.8500,1.4625
RLE,ZLIB,timestamps,2625,8542,1833,3417,40,68,36,1.7000,0.9000
RLE,ZLIB,values,3417,5208,1792,3459,40,80,74,2.0000,1.8500
RLE,ZLIB,combined,4792,8458,1916,6333,80,148,100,1.8500,1.2500
