algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,333,291,160,160,1.0000
IDENTITY,values,292,292,160,160,1.0000
IDENTITY,combined,292,375,320,320,1.0000
TS_2DIFF,timestamps,8417,18292,160,25,0.1563
TS_2DIFF,values,8750,18875,160,162,1.0125
TS_2DIFF,combined,7833,15750,320,189,0.5906
GORILLA,timestamps,29625,27250,160,161,1.0063
GORILLA,values,14042,12083,160,132,0.8250
GORILLA,combined,18792,24583,320,327,1.0219
BIT_PACKING,timestamps,19417,19833,160,108,0.6750
BIT_PACKING,values,6167,7042,160,163,1.0188
BIT_PACKING,combined,18333,16083,320,320,1.0000
RLE,timestamps,7708,6125,160,276,1.7250
RLE,values,9375,6084,160,318,1.9875
RLE,combined,14709,11417,320,594,1.8563
HUFFMAN,timestamps,107333,41209,160,191,1.1938
HUFFMAN,values,140125,88958,160,553,3.4563
HUFFMAN,combined,213458,138708,320,740,2.3125
DICTIONARY,timestamps,26583,17500,160,328,2.0500
DICTIONARY,values,23250,16375,160,328,2.0500
DICTIONARY,combined,31250,31917,320,648,2.0250
