algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,375,292,120,120,1.0000
IDENTITY,values,250,250,120,120,1.0000
IDENTITY,combined,292,292,240,240,1.0000
TS_2DIFF,timestamps,8375,20250,120,20,0.1667
TS_2DIFF,values,11167,16375,120,122,1.0167
TS_2DIFF,combined,10167,27250,240,144,0.6000
GORILLA,timestamps,21833,20333,120,122,1.0167
GORILLA,values,19167,10500,120,101,0.8417
GORILLA,combined,14291,18166,240,247,1.0292
BIT_PACKING,timestamps,13917,14000,120,82,0.6833
BIT_PACKING,values,4917,5417,120,124,1.0333
BIT_PACKING,combined,8583,9875,240,242,1.0083
RLE,timestamps,5792,4500,120,206,1.7167
RLE,values,6208,4625,120,240,2.0000
RLE,combined,11792,8708,240,446,1.8583
HUFFMAN,timestamps,99125,38625,120,149,1.2417
HUFFMAN,values,101708,69750,120,452,3.7667
HUFFMAN,combined,148500,104916,240,598,2.4917
DICTIONARY,timestamps,21958,12750,120,248,2.0667
DICTIONARY,values,19417,83291,120,248,2.0667
DICTIONARY,combined,37667,26542,240,488,2.0333
