algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,333,292,80,80,1.0000
IDENTITY,values,333,292,80,80,1.0000
IDENTITY,combined,250,250,160,160,1.0000
TS_2DIFF,timestamps,8125,9875,80,15,0.1875
TS_2DIFF,values,10083,10833,80,82,1.0250
TS_2DIFF,combined,6833,17333,160,99,0.6188
GORILLA,timestamps,15417,13667,80,83,1.0375
GORILLA,values,13250,7917,80,70,0.8750
GORILLA,combined,13666,12666,160,167,1.0438
BIT_PACKING,timestamps,10042,10167,80,57,0.7125
BIT_PACKING,values,14208,14667,80,84,1.0500
BIT_PACKING,combined,6000,6833,160,163,1.0188
RLE,timestamps,4000,3083,80,138,1.7250
RLE,values,5416,3125,80,160,2.0000
RLE,combined,7791,5750,160,298,1.8625
HUFFMAN,timestamps,94834,33875,80,112,1.4000
HUFFMAN,values,226667,46042,80,317,3.9625
HUFFMAN,combined,124125,82458,160,438,2.7375
DICTIONARY,timestamps,14166,9750,80,168,2.1000
DICTIONARY,values,14250,9166,80,168,2.1000
DICTIONARY,combined,24166,17333,160,328,2.0500
