algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,375,292,160,160,1.0000
IDENTITY,values,333,250,160,160,1.0000
IDENTITY,combined,333,292,320,320,1.0000
TS_2DIFF,timestamps,7625,18959,160,25,0.1563
TS_2DIFF,values,8791,20500,160,161,1.0063
TS_2DIFF,combined,22667,41708,320,188,0.5875
GORILLA,timestamps,26292,15209,160,161,1.0063
GORILLA,values,13250,28750,160,134,0.8375
GORILLA,combined,18750,23667,320,292,0.9125
BIT_PACKING,timestamps,5250,6375,160,108,0.6750
BIT_PACKING,values,7125,8666,160,163,1.0188
BIT_PACKING,combined,13417,13917,320,320,1.0000
RLE,timestamps,7416,6000,160,276,1.7250
RLE,values,9042,6042,160,320,2.0000
RLE,combined,15416,11916,320,596,1.8625
HUFFMAN,timestamps,227166,76000,160,191,1.1938
HUFFMAN,values,196250,90584,160,568,3.5500
HUFFMAN,combined,195875,132667,320,744,2.3250
DICTIONARY,timestamps,23583,16000,160,328,2.0500
DICTIONARY,values,24333,16500,160,328,2.0500
DICTIONARY,combined,30708,24834,320,648,2.0250
