encoder,compressor,target,encode_time_ns,compress_time_ns,decompress_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,final_size_bytes,encoding_ratio,final_ratio
TS_2DIFF,GZIP,timestamps,8167,9875,15334,18125,80,17,31,0.2125,0.3875
TS_2DIFF,GZIP,values,14709,10916,25042,20333,80,79,102,0.9875,1.2750
TS_2DIFF,GZIP,combined,12792,11958,11750,23625,160,100,123,0.6250,0.7688
TS_2DIFF,SNAPPY,timestamps,8125,2334,1792,34333,80,17,19,0.2125,0.2375
TS_2DIFF,SNAPPY,values,5750,1042,833,8833,80,79,82,0.9875,1.0250
TS_2DIFF,SNAPPY,combined,7834,1042,792,9208,160,100,99,0.6250,0.6188
TS_2DIFF,LZ4,timestamps,3125,1291,791,4666,80,17,23,0.2125,0.2875
TS_2DIFF,LZ4,values,4292,1459,750,5167,80,79,85,0.9875,1.0625
TS_2DIFF,LZ4,combined,3833,1375,750,9500,160,100,102,0.6250,0.6375
TS_2DIFF,ZLIB,timestamps,2000,5333,2709,4500,80,17,19,0.2125,0.2375
TS_2DIFF,ZLIB,values,3125,7042,11458,5166,80,79,90,0.9875,1.1250
TS_2DIFF,ZLIB,combined,3250,7500,2833,6833,160,100,111,0.6250,0.6938
GORILLA,GZIP,timestamps,52042,105500,49083,53083,80,79,95,0.9875,1.1875
GORILLA,GZIP,values,15084,17250,11084,14625,80,67,90,0.8375,1.1250
GORILLA,GZIP,combined,11750,12833,9542,15542,160,148,168,0.9250,1.0500
GORILLA,SNAPPY,timestamps,5292,916,792,6584,80,79,82,0.9875,1.0250
GORILLA,SNAPPY,values,5208,959,750,96958,80,67,70,0.8375,0.8750
GORILLA,SNAPPY,combined,10000,959,792,12792,160,148,152,0.9250,0.9500
GORILLA,LZ4,timestamps,5625,1333,709,7083,80,79,85,0.9875,1.0625
GORILLA,LZ4,values,5084,1292,708,6333,80,67,73,0.8375,0.9125
GORILLA,LZ4,combined,10167,3292,791,12750,160,148,154,0.9250,0.9625
GORILLA,ZLIB,timestamps,5375,6667,2708,6542,80,79,83,0.9875,1.0375
GORILLA,ZLIB,values,5542,6417,2083,6708,80,67,78,0.8375,0.9750
GORILLA,ZLIB,combined,9917,8334,2708,47250,160,148,156,0.9250,0.9750
RLE,GZIP,timestamps,6666,11209,10834,8666,80,138,63,1.7250,0.7875
RLE,GZIP,values,7291,17041,87333,12166,80,160,143,2.0000,1.7875
RLE,GZIP,combined,12875,17542,20417,16583,160,298,181,1.8625,1.1313
RLE,SNAPPY,timestamps,6334,1334,1125,8166,80,138,72,1.7250,0.9000
RLE,SNAPPY,values,6541,1375,1125,9167,80,160,157,2.0000,1.9625
RLE,SNAPPY,combined,26458,1750,1208,16834,160,298,215,1.8625,1.3438
RLE,LZ4,timestamps,8292,1875,1000,8250,80,138,60,1.7250,0.7500
RLE,LZ4,values,6625,1959,916,8834,80,160,162,2.0000,2.0250
RLE,LZ4,combined,12834,1916,917,16417,160,298,213,1.8625,1.3313
RLE,ZLIB,timestamps,6292,7167,2833,8333,80,138,51,1.7250,0.6375
RLE,ZLIB,values,6917,10375,7250,2500,80,160,131,2.0000,1.6375
RLE,ZLIB,combined,3334,13625,5583,4375,160,298,169,1.8625,1.0563
