encoder,compressor,target,encode_time_ns,compress_time_ns,decompress_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,final_size_bytes,encoding_ratio,final_ratio
TS_2DIFF,GZIP,timestamps,13250,11000,14625,25541,120,22,31,0.1833,0.2583
TS_2DIFF,GZIP,values,12917,12208,13583,21875,120,120,143,1.0000,1.1917
TS_2DIFF,GZIP,combined,8042,38458,24417,27375,240,146,165,0.6083,0.6875
TS_2DIFF,SNAPPY,timestamps,2250,1041,916,4833,120,22,24,0.1833,0.2000
TS_2DIFF,SNAPPY,values,3042,1000,750,5291,120,120,123,1.0000,1.0250
TS_2DIFF,SNAPPY,combined,4084,1042,750,8209,240,146,142,0.6083,0.5917
TS_2DIFF,LZ4,timestamps,2416,1291,666,4208,120,22,23,0.1833,0.1917
TS_2DIFF,LZ4,values,3000,1292,667,4834,120,120,126,1.0000,1.0500
TS_2DIFF,LZ4,combined,4375,1417,708,11458,240,146,143,0.6083,0.5958
TS_2DIFF,ZLIB,timestamps,2041,7750,2500,5375,120,22,19,0.1833,0.1583
TS_2DIFF,ZLIB,values,2875,7292,2417,4542,120,120,131,1.0000,1.0917
TS_2DIFF,ZLIB,combined,3834,11792,2750,7875,240,146,153,0.6083,0.6375
GORILLA,GZIP,timestamps,41208,22417,25167,48209,120,118,131,0.9833,1.0917
GORILLA,GZIP,values,13125,15708,9625,11625,120,98,121,0.8167,1.0083
GORILLA,GZIP,combined,18500,25125,11750,35333,240,216,235,0.9000,0.9792
GORILLA,SNAPPY,timestamps,8958,1084,875,10833,120,118,121,0.9833,1.0083
GORILLA,SNAPPY,values,15625,1167,917,13000,120,98,101,0.8167,0.8417
GORILLA,SNAPPY,combined,16125,1125,916,19250,240,216,220,0.9000,0.9167
GORILLA,LZ4,timestamps,8125,1542,791,10542,120,118,124,0.9833,1.0333
GORILLA,LZ4,values,9125,1834,958,15334,120,98,104,0.8167,0.8667
GORILLA,LZ4,combined,18875,1916,959,23000,240,216,222,0.9000,0.9250
GORILLA,ZLIB,timestamps,10333,8916,4750,13125,120,118,119,0.9833,0.9917
GORILLA,ZLIB,values,9583,9500,2833,12708,120,98,109,0.8167,0.9083
GORILLA,ZLIB,combined,9500,13667,5083,23958,240,216,223,0.9000,0.9292
RLE,GZIP,timestamps,9458,10042,11500,11958,120,206,77,1.7167,0.6417
RLE,GZIP,values,9708,16167,11458,12500,120,238,192,1.9833,1.6000
RLE,GZIP,combined,18708,17375,11708,23417,240,444,255,1.8500,1.0625
RLE,SNAPPY,timestamps,9250,1375,1167,11667,120,206,98,1.7167,0.8167
RLE,SNAPPY,values,10250,1459,1166,12416,120,238,226,1.9833,1.8833
RLE,SNAPPY,combined,32709,1916,1334,23250,240,444,309,1.8500,1.2875
RLE,LZ4,timestamps,9250,1875,958,11542,120,206,81,1.7167,0.6750
RLE,LZ4,values,10958,2083,958,12625,120,238,228,1.9833,1.9000
RLE,LZ4,combined,13209,1542,708,26583,240,444,300,1.8500,1.2500
RLE,ZLIB,timestamps,6583,6125,4542,8583,120,206,65,1.7167,0.5417
RLE,ZLIB,values,6875,8500,3750,2458,120,238,180,1.9833,1.5000
RLE,ZLIB,combined,3166,12667,5542,4542,240,444,243,1.8500,1.0125
