algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,333,250,200,200,1.0000
IDENTITY,values,292,292,200,200,1.0000
IDENTITY,combined,333,334,400,400,1.0000
TS_2DIFF,timestamps,11917,22625,200,30,0.1500
TS_2DIFF,values,11792,18792,200,201,1.0050
TS_2DIFF,combined,11667,49042,400,233,0.5825
GORILLA,timestamps,38833,19500,200,200,1.0000
GORILLA,values,12458,13792,200,165,0.8250
GORILLA,combined,21666,27083,400,362,0.9050
BIT_PACKING,timestamps,6459,24458,200,134,0.6700
BIT_PACKING,values,7583,8584,200,202,1.0100
BIT_PACKING,combined,13666,16416,400,399,0.9975
RLE,timestamps,11500,7834,200,346,1.7300
RLE,values,10209,7708,200,398,1.9900
RLE,combined,19583,14417,400,744,1.8600
HUFFMAN,timestamps,120000,47584,200,233,1.1650
HUFFMAN,values,161625,105334,200,648,3.2400
HUFFMAN,combined,236750,154959,400,849,2.1225
DICTIONARY,timestamps,23542,18792,200,408,2.0400
DICTIONARY,values,16333,18458,200,408,2.0400
DICTIONARY,combined,25625,14250,400,808,2.0200
