encoder,compressor,target,encode_time_ns,compress_time_ns,decompress_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,final_size_bytes,encoding_ratio,final_ratio
TS_2DIFF,GZIP,timestamps,5834,9958,13417,9541,40,12,32,0.3000,0.8000
TS_2DIFF,GZIP,values,6875,9583,15666,12209,40,40,63,1.0000,1.5750
TS_2DIFF,GZIP,combined,25583,41792,29833,18000,80,56,79,0.7000,0.9875
TS_2DIFF,SNAPPY,timestamps,2292,958,792,5834,40,12,14,0.3000,0.3500
TS_2DIFF,SNAPPY,values,4000,959,791,6750,40,40,42,1.0000,1.0500
TS_2DIFF,SNAPPY,combined,4834,1083,833,10250,80,56,58,0.7000,0.7250
TS_2DIFF,LZ4,timestamps,2209,1250,667,4709,40,12,17,0.3000,0.4250
TS_2DIFF,LZ4,values,3417,1375,750,5875,40,40,46,1.0000,1.1500
TS_2DIFF,LZ4,combined,4541,1416,750,6083,80,56,62,0.7000,0.7750
TS_2DIFF,ZLIB,timestamps,2292,5125,2792,3709,40,12,20,0.3000,0.5000
TS_2DIFF,ZLIB,values,3750,5958,2667,3667,40,40,51,1.0000,1.2750
TS_2DIFF,ZLIB,combined,3708,6209,2750,4458,80,56,67,0.7000,0.8375
GORILLA,GZIP,timestamps,16167,16417,12125,21083,40,41,64,1.0250,1.6000
GORILLA,GZIP,values,14667,30917,33875,15875,40,35,58,0.8750,1.4500
GORILLA,GZIP,combined,9583,17042,11958,9250,80,83,106,1.0375,1.3250
GORILLA,SNAPPY,timestamps,5542,1041,833,4917,40,41,43,1.0250,1.0750
GORILLA,SNAPPY,values,3167,916,791,6667,40,35,37,0.8750,0.9250
GORILLA,SNAPPY,combined,7875,1208,958,8875,80,83,86,1.0375,1.0750
GORILLA,LZ4,timestamps,4125,1500,3166,5875,40,41,47,1.0250,1.1750
GORILLA,LZ4,values,3791,1500,792,5083,40,35,41,0.8750,1.0250
GORILLA,LZ4,combined,7084,3791,916,8625,80,83,89,1.0375,1.1125
GORILLA,ZLIB,timestamps,3958,6292,2375,6083,40,41,52,1.0250,1.3000
GORILLA,ZLIB,values,4000,6334,2458,5458,40,35,46,0.8750,1.1500
GORILLA,ZLIB,combined,6459,8292,2041,8416,80,83,94,1.0375,1.1750
RLE,GZIP,timestamps,3042,7083,7542,3625,40,68,48,1.7000,1.2000
RLE,GZIP,values,2875,7708,7000,3833,40,80,91,2.0000,2.2750
RLE,GZIP,combined,5042,8500,7417,6834,80,148,118,1.8500,1.4750
RLE,SNAPPY,timestamps,2708,1000,833,3541,40,68,46,1.7000,1.1500
RLE,SNAPPY,values,3208,1041,791,3791,40,80,83,2.0000,2.0750
RLE,SNAPPY,combined,5708,3709,958,6458,80,148,119,1.8500,1.4875
RLE,LZ4,timestamps,2959,1333,750,3458,40,68,40,1.7000,1.0000
RLE,LZ4,values,2917,1416,709,3750,40,80,86,2.0000,2.1500
RLE,LZ4,combined,5083,1416,791,6625,80,148,118,1.8500,1.4750
RLE,ZLIB,timestamps,2666,5000,2125,3375,40,68,36,1.7000,0.9000
RLE,ZLIB,values,3708,5875,2209,3708,40,80,79,2.0000,1.9750
RLE,ZLIB,combined,5667,6500,2792,6459,80,148,106,1.8500,1.3250
