encoder,compressor,target,encode_time_ns,compress_time_ns,decompress_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,final_size_bytes,encoding_ratio,final_ratio
TS_2DIFF,GZIP,timestamps,50000,28542,39667,93583,200,32,31,0.1600,0.1550
TS_2DIFF,GZIP,values,49667,112875,111416,49792,200,198,221,0.9900,1.1050
TS_2DIFF,GZIP,combined,7542,14583,13833,16917,400,234,251,0.5850,0.6275
TS_2DIFF,SNAPPY,timestamps,3459,1417,1000,17834,200,32,15,0.1600,0.0750
TS_2DIFF,SNAPPY,values,4584,1000,792,9500,200,198,202,0.9900,1.0100
TS_2DIFF,SNAPPY,combined,7000,1208,1083,14875,400,234,220,0.5850,0.5500
TS_2DIFF,LZ4,timestamps,3041,1375,708,11417,200,32,23,0.1600,0.1150
TS_2DIFF,LZ4,values,7459,1917,791,8667,200,198,204,0.9900,1.0200
TS_2DIFF,LZ4,combined,6042,1625,709,12417,400,234,222,0.5850,0.5550
TS_2DIFF,ZLIB,timestamps,2791,5584,2792,9333,200,32,19,0.1600,0.0950
TS_2DIFF,ZLIB,values,4125,13292,3083,7709,200,198,209,0.9900,1.0450
TS_2DIFF,ZLIB,combined,6208,10875,3250,12291,400,234,239,0.5850,0.5975
GORILLA,GZIP,timestamps,42833,12917,15000,34958,200,196,191,0.9800,0.9550
GORILLA,GZIP,values,19916,19875,13500,18750,200,160,183,0.8000,0.9150
GORILLA,GZIP,combined,25334,33083,20125,29292,400,403,401,1.0075,1.0025
GORILLA,SNAPPY,timestamps,11375,1000,791,14333,200,196,200,0.9800,1.0000
GORILLA,SNAPPY,values,10958,1000,792,13333,200,160,164,0.8000,0.8200
GORILLA,SNAPPY,combined,23291,1041,791,28292,400,403,408,1.0075,1.0200
GORILLA,LZ4,timestamps,11333,1459,708,14458,200,196,202,0.9800,1.0100
GORILLA,LZ4,values,11458,1375,708,13416,200,160,166,0.8000,0.8300
GORILLA,LZ4,combined,23292,1542,708,27666,400,403,410,1.0075,1.0250
GORILLA,ZLIB,timestamps,90417,76625,20583,38667,200,196,179,0.9800,0.8950
GORILLA,ZLIB,values,14083,12250,2750,18250,200,160,171,0.8000,0.8550
GORILLA,ZLIB,combined,18875,19708,7708,38417,400,403,389,1.0075,0.9725
RLE,GZIP,timestamps,15375,12750,248875,24791,200,346,103,1.7300,0.5150
RLE,GZIP,values,11541,15208,9500,17666,200,398,287,1.9900,1.4350
RLE,GZIP,combined,21917,20417,11417,28625,400,744,373,1.8600,0.9325
RLE,SNAPPY,timestamps,10833,1083,916,14125,200,346,148,1.7300,0.7400
RLE,SNAPPY,values,11292,1208,916,14708,200,398,362,1.9900,1.8100
RLE,SNAPPY,combined,26583,1792,1125,29042,400,744,497,1.8600,1.2425
RLE,LZ4,timestamps,11333,1500,834,14292,200,346,121,1.7300,0.6050
RLE,LZ4,values,22958,3875,1417,16542,200,398,365,1.9900,1.8250
RLE,LZ4,combined,22042,1875,792,28167,400,744,477,1.8600,1.1925
RLE,ZLIB,timestamps,13416,10042,6583,17416,200,346,91,1.7300,0.4550
RLE,ZLIB,values,16500,16709,6042,5000,200,398,275,1.9900,1.3750
RLE,ZLIB,combined,6667,19625,7958,9459,400,744,361,1.8600,0.9025
