algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,333,292,40,40,1.0000
IDENTITY,values,291,250,40,40,1.0000
IDENTITY,combined,292,292,80,80,1.0000
TS_2DIFF,timestamps,3750,5458,40,10,0.2500
TS_2DIFF,values,5833,7083,40,41,1.0250
TS_2DIFF,combined,6875,9541,80,53,0.6625
GORILLA,timestamps,13166,14750,40,45,1.1250
GORILLA,values,13458,9792,40,39,0.9750
GORILLA,combined,13833,12625,80,87,1.0875
BIT_PACKING,timestamps,5792,6875,40,31,0.7750
BIT_PACKING,values,7959,9250,40,45,1.1250
BIT_PACKING,combined,17542,20084,80,84,1.0500
RLE,timestamps,2375,2000,40,68,1.7000
RLE,values,2583,1875,40,80,2.0000
RLE,combined,4375,3209,80,148,1.8500
HUFFMAN,timestamps,57292,17166,40,71,1.7750
HUFFMAN,values,86041,25375,40,168,4.2000
HUFFMAN,combined,84250,38792,80,238,2.9750
DICTIONARY,timestamps,10917,5500,40,88,2.2000
DICTIONARY,values,6708,5083,40,88,2.2000
DICTIONARY,combined,9417,8375,80,168,2.1000
