algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,500,250,160,160,1.0000
IDENTITY,values,291,250,160,160,1.0000
IDENTITY,combined,333,292,320,320,1.0000
TS_2DIFF,timestamps,10875,18791,160,25,0.1563
TS_2DIFF,values,9500,19750,160,162,1.0125
TS_2DIFF,combined,4791,26459,320,189,0.5906
GORILLA,timestamps,25208,23833,160,161,1.0063
GORILLA,values,23541,22875,160,132,0.8250
GORILLA,combined,44958,42834,320,290,0.9063
BIT_PACKING,timestamps,19959,20375,160,108,0.6750
BIT_PACKING,values,6166,6833,160,163,1.0188
BIT_PACKING,combined,18458,15166,320,320,1.0000
RLE,timestamps,7833,6000,160,276,1.7250
RLE,values,10417,6167,160,318,1.9875
RLE,combined,15083,12000,320,594,1.8563
HUFFMAN,timestamps,205208,52166,160,191,1.1938
HUFFMAN,values,128917,93250,160,525,3.2813
HUFFMAN,combined,209958,134250,320,717,2.2406
DICTIONARY,timestamps,24959,17583,160,328,2.0500
DICTIONARY,values,24708,18750,160,328,2.0500
DICTIONARY,combined,26708,47709,320,648,2.0250
