algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,334,292,80,80,1.0000
IDENTITY,values,417,291,80,80,1.0000
IDENTITY,combined,500,291,160,160,1.0000
TS_2DIFF,timestamps,54125,14500,80,15,0.1875
TS_2DIFF,values,8250,11292,80,82,1.0250
TS_2DIFF,combined,4917,11791,160,99,0.6188
GORILLA,timestamps,24750,23916,80,83,1.0375
GORILLA,values,14000,13917,80,70,0.8750
GORILLA,combined,13083,14292,160,150,0.9375
BIT_PACKING,timestamps,10000,11709,80,57,0.7125
BIT_PACKING,values,15875,14958,80,84,1.0500
BIT_PACKING,combined,6458,7208,160,163,1.0188
RLE,timestamps,4125,3125,80,138,1.7250
RLE,values,6917,3209,80,160,2.0000
RLE,combined,7584,5916,160,298,1.8625
HUFFMAN,timestamps,73834,28875,80,112,1.4000
HUFFMAN,values,105917,53625,80,312,3.9000
HUFFMAN,combined,105083,71125,160,411,2.5688
DICTIONARY,timestamps,13125,9458,80,168,2.1000
DICTIONARY,values,13917,9375,80,168,2.1000
DICTIONARY,combined,25208,19834,160,328,2.0500
