encoder,compressor,target,encode_time_ns,compress_time_ns,decompress_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,final_size_bytes,encoding_ratio,final_ratio
TS_2DIFF,GZIP,timestamps,14083,8917,12541,22833,160,27,31,0.1688,0.1938
TS_2DIFF,GZIP,values,11125,12917,13250,16792,160,160,183,1.0000,1.1438
TS_2DIFF,GZIP,combined,5666,12500,11875,17334,320,191,210,0.5969,0.6563
TS_2DIFF,SNAPPY,timestamps,2417,1042,792,6208,160,27,15,0.1688,0.0938
TS_2DIFF,SNAPPY,values,9291,1125,833,6708,160,160,164,1.0000,1.0250
TS_2DIFF,SNAPPY,combined,5334,1000,792,9667,320,191,182,0.5969,0.5688
TS_2DIFF,LZ4,timestamps,2375,1209,708,5125,160,27,23,0.1688,0.1438
TS_2DIFF,LZ4,values,3750,1334,667,5792,160,160,166,1.0000,1.0375
TS_2DIFF,LZ4,combined,7000,1417,708,9583,320,191,183,0.5969,0.5719
TS_2DIFF,ZLIB,timestamps,2417,6958,2625,6125,160,27,19,0.1688,0.1188
TS_2DIFF,ZLIB,values,3625,8375,2583,7166,160,160,171,1.0000,1.0688
TS_2DIFF,ZLIB,combined,3209,9083,2916,9791,320,191,198,0.5969,0.6188
GORILLA,GZIP,timestamps,25209,13667,12083,19250,160,157,163,0.9813,1.0188
GORILLA,GZIP,values,9709,12916,10708,11625,160,128,151,0.8000,0.9438
GORILLA,GZIP,combined,19458,14500,9333,24083,320,323,336,1.0094,1.0500
GORILLA,SNAPPY,timestamps,11208,1042,792,12084,160,157,161,0.9813,1.0063
GORILLA,SNAPPY,values,9167,958,792,13000,160,128,132,0.8000,0.8250
GORILLA,SNAPPY,combined,18958,916,791,25541,320,323,328,1.0094,1.0250
GORILLA,LZ4,timestamps,9125,1416,666,12458,160,157,163,0.9813,1.0188
GORILLA,LZ4,values,10167,1709,708,11291,160,128,134,0.8000,0.8375
GORILLA,LZ4,combined,19167,1458,3083,23334,320,323,330,1.0094,1.0313
GORILLA,ZLIB,timestamps,20000,33833,3750,15208,160,157,151,0.9813,0.9438
GORILLA,ZLIB,values,10042,8833,2250,12583,160,128,139,0.8000,0.8688
GORILLA,ZLIB,combined,10583,14000,3041,61958,320,323,324,1.0094,1.0125
RLE,GZIP,timestamps,9042,8667,7459,11750,160,276,92,1.7250,0.5750
RLE,GZIP,values,9416,16000,9042,12333,160,318,247,1.9875,1.5438
RLE,GZIP,combined,20500,44625,19000,24625,320,594,310,1.8563,0.9688
RLE,SNAPPY,timestamps,8875,1083,958,11709,160,276,123,1.7250,0.7688
RLE,SNAPPY,values,11709,1208,1042,12458,160,318,293,1.9875,1.8313
RLE,SNAPPY,combined,36125,1625,1084,24208,320,594,404,1.8563,1.2625
RLE,LZ4,timestamps,9041,1541,750,11667,160,276,101,1.7250,0.6313
RLE,LZ4,values,10667,1708,750,12500,160,318,292,1.9875,1.8250
RLE,LZ4,combined,22208,1917,750,23500,320,594,385,1.8563,1.2031
RLE,ZLIB,timestamps,10000,6292,2000,10917,160,276,80,1.7250,0.5000
RLE,ZLIB,values,8875,10083,4166,3333,160,318,235,1.9875,1.4688
RLE,ZLIB,combined,4375,12417,4500,5958,320,594,298,1.8563,0.9313
