algorithm,target,compress_time_ns,decompress_time_ns,original_size_bytes,compressed_size_bytes,compression_ratio
IDENTITY,timestamps,334,250,40,40,1.0000
IDENTITY,values,250,250,40,40,1.0000
IDENTITY,combined,250,250,80,80,1.0000
GZIP,timestamps,8791,11292,40,39,0.9750
GZIP,values,7667,12083,40,63,1.5750
GZIP,combined,40500,18583,80,82,1.0250
SNAPPY,timestamps,2209,1875,40,30,0.7500
SNAPPY,values,2042,1708,40,42,1.0500
SNAPPY,combined,2208,1833,80,66,0.8250
LZ4,timestamps,1375,709,40,33,0.8250
LZ4,values,1167,667,40,46,1.1500
LZ4,combined,1208,666,80,70,0.8750
ZLIB,timestamps,5375,2750,40,27,0.6750
ZLIB,values,5667,2500,40,51,1.2750
ZLIB,combined,6417,2750,80,70,0.8750
