encoder,compressor,target,encode_time_ns,compress_time_ns,decompress_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,final_size_bytes,encoding_ratio,final_ratio
TS_2DIFF,GZIP,timestamps,16625,27541,36250,25083,40,12,32,0.3000,0.8000
TS_2DIFF,GZIP,values,22042,21917,35833,28792,40,39,62,0.9750,1.5500
TS_2DIFF,GZIP,combined,27666,13459,14583,12958,80,55,78,0.6875,0.9750
TS_2DIFF,SNAPPY,timestamps,5958,2291,1750,14208,40,12,14,0.3000,0.3500
TS_2DIFF,SNAPPY,values,11000,2542,1791,13417,40,39,41,0.9750,1.0250
TS_2DIFF,SNAPPY,combined,11834,2375,1792,16792,80,55,57,0.6875,0.7125
TS_2DIFF,LZ4,timestamps,6791,3375,1875,10417,40,12,17,0.3000,0.4250
TS_2DIFF,LZ4,values,2417,1375,750,4083,40,39,45,0.9750,1.1250
TS_2DIFF,LZ4,combined,5792,2500,1292,8625,80,55,61,0.6875,0.7625
TS_2DIFF,ZLIB,timestamps,1667,5583,2792,4250,40,12,20,0.3000,0.5000
TS_2DIFF,ZLIB,values,2083,5959,2542,3750,40,39,50,0.9750,1.2500
TS_2DIFF,ZLIB,combined,2667,6334,2583,4000,80,55,66,0.6875,0.8250
GORILLA,GZIP,timestamps,23042,51708,13250,22167,40,41,64,1.0250,1.6000
GORILLA,GZIP,values,8041,8959,8708,10625,40,35,58,0.8750,1.4500
GORILLA,GZIP,combined,11125,9167,9708,9667,80,83,106,1.0375,1.3250
GORILLA,SNAPPY,timestamps,8042,1000,2500,6625,40,41,43,1.0250,1.0750
GORILLA,SNAPPY,values,6042,1541,1292,6625,40,35,37,0.8750,0.9250
GORILLA,SNAPPY,combined,10000,1500,1166,12125,80,83,86,1.0375,1.0750
GORILLA,LZ4,timestamps,5541,2000,1167,7208,40,41,47,1.0250,1.1750
GORILLA,LZ4,values,5417,1916,1125,6625,40,35,41,0.8750,1.0250
GORILLA,LZ4,combined,9708,2041,1042,11458,80,83,89,1.0375,1.1125
GORILLA,ZLIB,timestamps,5458,8458,3167,8083,40,41,52,1.0250,1.3000
GORILLA,ZLIB,values,5250,7959,3125,6917,40,35,46,0.8750,1.1500
GORILLA,ZLIB,combined,9292,9709,3000,11333,80,83,94,1.0375,1.1750
RLE,GZIP,timestamps,6584,30834,26000,5375,40,68,48,1.7000,1.2000
RLE,GZIP,values,4083,11416,9416,5000,40,80,86,2.0000,2.1500
RLE,GZIP,combined,5125,8291,7209,6333,80,148,112,1.8500,1.4000
RLE,SNAPPY,timestamps,2583,917,833,3500,40,68,46,1.7000,1.1500
RLE,SNAPPY,values,2875,917,833,3708,40,80,78,2.0000,1.9500
RLE,SNAPPY,combined,14083,1167,875,6125,80,148,114,1.8500,1.4250
RLE,LZ4,timestamps,2542,1250,666,3125,40,68,40,1.7000,1.0000
RLE,LZ4,values,2750,1375,666,3417,40,80,83,2.0000,2.0750
RLE,LZ4,combined,4917,1583,625,5958,80,148,115,1.8500,1.4375
RLE,ZLIB,timestamps,2709,6750,1875,3333,40,68,36,1.7000,0.9000
RLE,ZLIB,values,3125,5208,3375,3500,40,80,74,2.0000,1.8500
RLE,ZLIB,combined,5042,12250,3125,9750,80,148,100,1.8500,1.2500
