encoder,compressor,target,encode_time_ns,compress_time_ns,decompress_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,final_size_bytes,encoding_ratio,final_ratio
TS_2DIFF,GZIP,timestamps,15375,9875,13459,27958,200,32,31,0.1600,0.1550
TS_2DIFF,GZIP,values,9542,23042,18041,15000,200,198,221,0.9900,1.1050
TS_2DIFF,GZIP,combined,7125,13959,14042,16666,400,234,252,0.5850,0.6300
TS_2DIFF,SNAPPY,timestamps,7125,6166,1666,7458,200,32,15,0.1600,0.0750
TS_2DIFF,SNAPPY,values,4250,958,750,7333,200,198,202,0.9900,1.0100
TS_2DIFF,SNAPPY,combined,5958,1042,792,12084,400,234,220,0.5850,0.5500
TS_2DIFF,LZ4,timestamps,2583,1208,667,9250,200,32,23,0.1600,0.1150
TS_2DIFF,LZ4,values,4583,1417,709,7167,200,198,204,0.9900,1.0200
TS_2DIFF,LZ4,combined,5875,1375,708,11542,400,234,222,0.5850,0.5550
TS_2DIFF,ZLIB,timestamps,3416,5000,2542,10167,200,32,19,0.1600,0.0950
TS_2DIFF,ZLIB,values,5334,32958,5083,10250,200,198,209,0.9900,1.0450
TS_2DIFF,ZLIB,combined,37000,11417,3417,17541,400,234,240,0.5850,0.6000
GORILLA,GZIP,timestamps,28333,13542,54292,22083,200,196,191,0.9800,0.9550
GORILLA,GZIP,values,14000,16333,9458,18042,200,160,183,0.8000,0.9150
GORILLA,GZIP,combined,30625,18417,30000,33375,400,403,404,1.0075,1.0100
GORILLA,SNAPPY,timestamps,13583,1125,917,16875,200,196,200,0.9800,1.0000
GORILLA,SNAPPY,values,12333,1125,875,15791,200,160,164,0.8000,0.8200
GORILLA,SNAPPY,combined,27125,1125,875,32583,400,403,408,1.0075,1.0200
GORILLA,LZ4,timestamps,10458,1709,833,16584,200,196,202,0.9800,1.0100
GORILLA,LZ4,values,9625,1833,791,15125,200,160,166,0.8000,0.8300
GORILLA,LZ4,combined,17292,1500,666,27458,400,403,410,1.0075,1.0250
GORILLA,ZLIB,timestamps,9250,8750,14583,15125,200,196,179,0.9800,0.8950
GORILLA,ZLIB,values,8125,24584,4542,36375,200,160,171,0.8000,0.8550
GORILLA,ZLIB,combined,12875,13208,5500,22417,400,403,392,1.0075,0.9800
RLE,GZIP,timestamps,11084,9250,9208,13667,200,346,103,1.7300,0.5150
RLE,GZIP,values,11375,14583,13084,15458,200,398,287,1.9900,1.4350
RLE,GZIP,combined,24750,22459,11000,29750,400,744,380,1.8600,0.9500
RLE,SNAPPY,timestamps,11667,1167,1167,14500,200,346,148,1.7300,0.7400
RLE,SNAPPY,values,12667,1250,958,15625,200,398,363,1.9900,1.8150
RLE,SNAPPY,combined,35459,1834,1208,29458,400,744,497,1.8600,1.2425
RLE,LZ4,timestamps,11209,1667,750,14750,200,346,121,1.7300,0.6050
RLE,LZ4,values,12125,2042,709,15375,200,398,360,1.9900,1.8000
RLE,LZ4,combined,22917,1959,792,30292,400,744,472,1.8600,1.1800
RLE,ZLIB,timestamps,10250,8375,5125,14333,200,346,91,1.7300,0.4550
RLE,ZLIB,values,10667,12541,5167,4334,200,398,275,1.9900,1.3750
RLE,ZLIB,combined,5666,16791,6791,8458,400,744,368,1.8600,0.9200
