encoder,compressor,target,encode_time_ns,compress_time_ns,decompress_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,final_size_bytes,encoding_ratio,final_ratio
TS_2DIFF,GZIP,timestamps,45291,26291,38209,69333,200,32,31,0.1600,0.1550
TS_2DIFF,GZIP,values,13042,13667,14917,15292,200,200,223,1.0000,1.1150
TS_2DIFF,GZIP,combined,16833,31834,34500,38958,400,236,253,0.5900,0.6325
TS_2DIFF,SNAPPY,timestamps,8250,2958,2417,22208,200,32,15,0.1600,0.0750
TS_2DIFF,SNAPPY,values,12959,3291,2292,25583,200,200,204,1.0000,1.0200
TS_2DIFF,SNAPPY,combined,18500,3125,2417,35708,400,236,222,0.5900,0.5550
TS_2DIFF,LZ4,timestamps,8375,3708,2125,21292,200,32,23,0.1600,0.1150
TS_2DIFF,LZ4,values,12625,4209,2000,20333,200,200,206,1.0000,1.0300
TS_2DIFF,LZ4,combined,17166,4250,2083,33750,400,236,224,0.5900,0.5600
TS_2DIFF,ZLIB,timestamps,7459,13833,7000,27375,200,32,19,0.1600,0.0950
TS_2DIFF,ZLIB,values,3791,10708,2667,7000,200,200,211,1.0000,1.0550
TS_2DIFF,ZLIB,combined,5334,9916,3041,11750,400,236,241,0.5900,0.6025
GORILLA,GZIP,timestamps,105500,37750,38542,56125,200,196,191,0.9800,0.9550
GORILLA,GZIP,values,18666,18042,12125,19667,200,160,183,0.8000,0.9150
GORILLA,GZIP,combined,34291,20875,12917,38125,400,356,365,0.8900,0.9125
GORILLA,SNAPPY,timestamps,16208,1333,1083,21167,200,196,200,0.9800,1.0000
GORILLA,SNAPPY,values,15500,1333,1084,24916,200,160,164,0.8000,0.8200
GORILLA,SNAPPY,combined,28583,6791,2375,28291,400,356,361,0.8900,0.9025
GORILLA,LZ4,timestamps,9167,1542,750,14833,200,196,202,0.9800,1.0100
GORILLA,LZ4,values,8375,1375,709,13625,200,160,166,0.8000,0.8300
GORILLA,LZ4,combined,17250,1458,709,28208,400,356,363,0.8900,0.9075
GORILLA,ZLIB,timestamps,21584,28167,10583,39250,200,196,179,0.9800,0.8950
GORILLA,ZLIB,values,9875,12375,2125,15666,200,160,171,0.8000,0.8550
GORILLA,ZLIB,combined,21583,13041,4834,22334,400,356,353,0.8900,0.8825
RLE,GZIP,timestamps,11625,11458,116417,41667,200,346,103,1.7300,0.5150
RLE,GZIP,values,15334,37208,14375,15708,200,398,288,1.9900,1.4400
RLE,GZIP,combined,22458,20625,10542,28375,400,744,377,1.8600,0.9425
RLE,SNAPPY,timestamps,26542,1875,1041,14458,200,346,148,1.7300,0.7400
RLE,SNAPPY,values,10416,1166,958,14667,200,398,356,1.9900,1.7800
RLE,SNAPPY,combined,42417,1959,1250,30750,400,744,491,1.8600,1.2275
RLE,LZ4,timestamps,9583,1500,750,14000,200,346,121,1.7300,0.6050
RLE,LZ4,values,10333,1667,750,14875,200,398,360,1.9900,1.8000
RLE,LZ4,combined,24791,2500,1041,24916,400,744,472,1.8600,1.1800
RLE,ZLIB,timestamps,9583,26708,11542,13458,200,346,91,1.7300,0.4550
RLE,ZLIB,values,3084,12750,6792,13334,200,398,276,1.9900,1.3800
RLE,ZLIB,combined,7000,24458,11042,7667,400,744,365,1.8600,0.9125
