algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,334,291,160,160,1.0000
IDENTITY,values,333,292,160,160,1.0000
IDENTITY,combined,291,292,320,320,1.0000
TS_2DIFF,timestamps,11417,18834,160,25,0.1563
TS_2DIFF,values,15375,26916,160,162,1.0125
TS_2DIFF,combined,9000,34875,320,189,0.5906
GORILLA,timestamps,28458,26042,160,161,1.0063
GORILLA,values,14708,14291,160,133,0.8313
GORILLA,combined,19500,22416,320,290,0.9063
BIT_PACKING,timestamps,4750,6166,160,108,0.6750
BIT_PACKING,values,6334,7458,160,163,1.0188
BIT_PACKING,combined,11167,13208,320,320,1.0000
RLE,timestamps,8083,6333,160,276,1.7250
RLE,values,8250,6292,160,318,1.9875
RLE,combined,15167,12208,320,594,1.8563
HUFFMAN,timestamps,132083,40542,160,191,1.1938
HUFFMAN,values,133084,92250,160,568,3.5500
HUFFMAN,combined,191291,156042,320,738,2.3063
DICTIONARY,timestamps,63250,41250,160,328,2.0500
DICTIONARY,values,33833,27750,160,328,2.0500
DICTIONARY,combined,65708,51667,320,648,2.0250
