algorithm,target,compress_time_ns,decompress_time_ns,original_size_bytes,compressed_size_bytes,compression_ratio
IDENTITY,timestamps,375,292,120,120,1.0000
IDENTITY,values,292,292,120,120,1.0000
IDENTITY,combined,292,292,240,240,1.0000
GZIP,timestamps,26458,33083,120,65,0.5417
GZIP,values,28166,44042,120,143,1.1917
GZIP,combined,33833,29833,240,192,0.8000
SNAPPY,timestamps,1959,1833,120,70,0.5833
SNAPPY,values,1875,1459,120,123,1.0250
SNAPPY,combined,1959,1584,240,188,0.7833
LZ4,timestamps,2959,1583,120,73,0.6083
LZ4,values,1458,708,120,126,1.0500
LZ4,combined,1541,709,240,190,0.7917
ZLIB,timestamps,6000,2667,120,53,0.4417
ZLIB,values,7292,2416,120,131,1.0917
ZLIB,combined,9042,2833,240,180,0.7500
