encoder,compressor,target,encode_time_ns,compress_time_ns,decompress_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,final_size_bytes,encoding_ratio,final_ratio
TS_2DIFF,GZIP,timestamps,7666,8709,94833,25000,80,17,31,0.2125,0.3875
TS_2DIFF,GZIP,values,18042,10583,23208,18709,80,79,102,0.9875,1.2750
TS_2DIFF,GZIP,combined,9083,14583,12416,16417,160,100,121,0.6250,0.7563
TS_2DIFF,SNAPPY,timestamps,3292,1000,833,4375,80,17,19,0.2125,0.2375
TS_2DIFF,SNAPPY,values,7459,1125,792,6083,80,79,82,0.9875,1.0250
TS_2DIFF,SNAPPY,combined,10792,1041,833,9875,160,100,99,0.6250,0.6188
TS_2DIFF,LZ4,timestamps,2042,1292,708,4625,80,17,23,0.2125,0.2875
TS_2DIFF,LZ4,values,2791,1333,709,4250,80,79,85,0.9875,1.0625
TS_2DIFF,LZ4,combined,4250,1542,792,7000,160,100,102,0.6250,0.6375
TS_2DIFF,ZLIB,timestamps,1959,5916,2834,4917,80,17,19,0.2125,0.2375
TS_2DIFF,ZLIB,values,3041,6833,2583,4250,80,79,90,0.9875,1.1250
TS_2DIFF,ZLIB,combined,3833,7875,2833,6208,160,100,109,0.6250,0.6813
GORILLA,GZIP,timestamps,189666,32583,22666,79709,80,79,95,0.9875,1.1875
GORILLA,GZIP,values,13375,10458,9459,14583,80,66,89,0.8250,1.1125
GORILLA,GZIP,combined,16500,11959,11708,17708,160,163,182,1.0188,1.1375
GORILLA,SNAPPY,timestamps,6500,958,875,8292,80,79,82,0.9875,1.0250
GORILLA,SNAPPY,values,5958,917,750,7375,80,66,69,0.8250,0.8625
GORILLA,SNAPPY,combined,9792,917,833,12458,160,163,167,1.0188,1.0438
GORILLA,LZ4,timestamps,5167,1375,750,6750,80,79,85,0.9875,1.0625
GORILLA,LZ4,values,4917,1333,791,6416,80,66,72,0.8250,0.9000
GORILLA,LZ4,combined,10458,1375,709,12000,160,163,169,1.0188,1.0563
GORILLA,ZLIB,timestamps,5084,6292,2500,6458,80,79,83,0.9875,1.0375
GORILLA,ZLIB,values,5292,6625,2125,6417,80,66,77,0.8250,0.9625
GORILLA,ZLIB,combined,13500,11958,3667,17708,160,163,170,1.0188,1.0625
RLE,GZIP,timestamps,6667,11083,10708,8500,80,138,63,1.7250,0.7875
RLE,GZIP,values,7334,13541,12459,9500,80,160,145,2.0000,1.8125
RLE,GZIP,combined,12292,14958,14333,15959,160,298,183,1.8625,1.1438
RLE,SNAPPY,timestamps,6167,1417,1209,8000,80,138,72,1.7250,0.9000
RLE,SNAPPY,values,11542,9125,2875,11750,80,160,153,2.0000,1.9125
RLE,SNAPPY,combined,78083,10542,3000,36125,160,298,211,1.8625,1.3188
RLE,LZ4,timestamps,6375,1875,1000,10541,80,138,60,1.7250,0.7500
RLE,LZ4,values,6750,2041,1209,8666,80,160,159,2.0000,1.9875
RLE,LZ4,combined,12792,2042,1000,16042,160,298,209,1.8625,1.3063
RLE,ZLIB,timestamps,6166,8209,2916,8042,80,138,51,1.7250,0.6375
RLE,ZLIB,values,7042,10375,5209,4750,80,160,133,2.0000,1.6625
RLE,ZLIB,combined,3542,20125,14792,4583,160,298,171,1.8625,1.0688
