algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,291,292,40,40,1.0000
IDENTITY,values,334,292,40,40,1.0000
IDENTITY,combined,250,250,80,80,1.0000
TS_2DIFF,timestamps,3791,5542,40,10,0.2500
TS_2DIFF,values,6417,7458,40,42,1.0500
TS_2DIFF,combined,7083,11042,80,54,0.6750
GORILLA,timestamps,12833,15792,40,45,1.1250
GORILLA,values,11916,8959,40,39,0.9750
GORILLA,combined,14083,12750,80,87,1.0875
BIT_PACKING,timestamps,6875,7209,40,31,0.7750
BIT_PACKING,values,9250,9167,40,45,1.1250
BIT_PACKING,combined,19208,19291,80,84,1.0500
RLE,timestamps,2375,1833,40,68,1.7000
RLE,values,2375,1917,40,80,2.0000
RLE,combined,4291,3625,80,148,1.8500
HUFFMAN,timestamps,59458,28666,40,71,1.7750
HUFFMAN,values,88792,29750,40,184,4.6000
HUFFMAN,combined,76084,40291,80,259,3.2375
DICTIONARY,timestamps,7584,6791,40,88,2.2000
DICTIONARY,values,7000,5166,40,88,2.2000
DICTIONARY,combined,11583,8542,80,168,2.1000
