algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,333,292,120,120,1.0000
IDENTITY,values,333,291,120,120,1.0000
IDENTITY,combined,458,375,240,240,1.0000
TS_2DIFF,timestamps,8833,14750,120,20,0.1667
TS_2DIFF,values,10042,15000,120,122,1.0167
TS_2DIFF,combined,49708,61583,240,144,0.6000
GORILLA,timestamps,21291,18042,120,122,1.0167
GORILLA,values,17250,10375,120,100,0.8333
GORILLA,combined,16667,17375,240,219,0.9125
BIT_PACKING,timestamps,4959,15333,120,82,0.6833
BIT_PACKING,values,5084,5625,120,124,1.0333
BIT_PACKING,combined,9042,10083,240,242,1.0083
RLE,timestamps,6833,4292,120,206,1.7167
RLE,values,6125,4584,120,238,1.9833
RLE,combined,11250,8500,240,444,1.8500
HUFFMAN,timestamps,98750,65500,120,149,1.2417
HUFFMAN,values,114500,65584,120,425,3.5417
HUFFMAN,combined,144750,100125,240,587,2.4458
DICTIONARY,timestamps,101667,16166,120,248,2.0667
DICTIONARY,values,18500,15250,120,248,2.0667
DICTIONARY,combined,21041,17750,240,488,2.0333
