encoder,compressor,target,encode_time_ns,compress_time_ns,decompress_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,final_size_bytes,encoding_ratio,final_ratio
TS_2DIFF,GZIP,timestamps,7958,9500,14875,15708,80,17,31,0.2125,0.3875
TS_2DIFF,GZIP,values,65458,33959,62209,41042,80,80,103,1.0000,1.2875
TS_2DIFF,GZIP,combined,20666,27625,29416,48125,160,101,124,0.6313,0.7750
TS_2DIFF,SNAPPY,timestamps,7584,2334,1875,48000,80,17,19,0.2125,0.2375
TS_2DIFF,SNAPPY,values,11250,3750,2375,26500,80,80,83,1.0000,1.0375
TS_2DIFF,SNAPPY,combined,9333,2917,2333,33542,160,101,100,0.6313,0.6250
TS_2DIFF,LZ4,timestamps,5167,3792,2042,13208,80,17,23,0.2125,0.2875
TS_2DIFF,LZ4,values,7166,3959,2250,30167,80,80,86,1.0000,1.0750
TS_2DIFF,LZ4,combined,3250,1417,750,6834,160,101,103,0.6313,0.6438
TS_2DIFF,ZLIB,timestamps,2000,5542,2792,4750,80,17,19,0.2125,0.2375
TS_2DIFF,ZLIB,values,3500,6917,2709,4792,80,80,91,1.0000,1.1375
TS_2DIFF,ZLIB,combined,3291,7291,2667,6792,160,101,112,0.6313,0.7000
GORILLA,GZIP,timestamps,33583,22500,29333,77459,80,79,95,0.9875,1.1875
GORILLA,GZIP,values,32333,23709,21541,23333,80,66,89,0.8250,1.1125
GORILLA,GZIP,combined,12250,11250,12917,78333,160,146,167,0.9125,1.0438
GORILLA,SNAPPY,timestamps,8750,1333,1084,8750,80,79,82,0.9875,1.0250
GORILLA,SNAPPY,values,15416,1542,917,7167,80,66,69,0.8250,0.8625
GORILLA,SNAPPY,combined,9500,875,750,11625,160,146,150,0.9125,0.9375
GORILLA,LZ4,timestamps,4750,1416,708,6459,80,79,85,0.9875,1.0625
GORILLA,LZ4,values,4625,1291,666,6041,80,66,72,0.8250,0.9000
GORILLA,LZ4,combined,9708,1292,667,13667,160,146,152,0.9125,0.9500
GORILLA,ZLIB,timestamps,4833,5875,2208,6125,80,79,83,0.9875,1.0375
GORILLA,ZLIB,values,4583,5959,2000,5834,80,66,77,0.8250,0.9625
GORILLA,ZLIB,combined,9250,7666,2208,11667,160,146,155,0.9125,0.9688
RLE,GZIP,timestamps,4542,6750,7125,5625,80,138,63,1.7250,0.7875
RLE,GZIP,values,4792,8833,6583,6084,80,160,146,2.0000,1.8250
RLE,GZIP,combined,8500,11833,8459,11042,160,298,180,1.8625,1.1250
RLE,SNAPPY,timestamps,4417,917,792,5584,80,138,72,1.7250,0.9000
RLE,SNAPPY,values,4917,1041,791,6166,80,160,152,2.0000,1.9000
RLE,SNAPPY,combined,9167,1042,833,11125,160,298,212,1.8625,1.3250
RLE,LZ4,timestamps,4583,1208,667,7834,80,138,60,1.7250,0.7500
RLE,LZ4,values,4709,1500,667,6500,80,160,157,2.0000,1.9625
RLE,LZ4,combined,9084,1500,708,11209,160,298,208,1.8625,1.3000
RLE,ZLIB,timestamps,4458,5250,2125,5708,80,138,51,1.7250,0.6375
RLE,ZLIB,values,5334,7041,3500,6333,80,160,134,2.0000,1.6750
RLE,ZLIB,combined,9500,8542,5500,3208,160,298,168,1.8625,1.0500
