algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,375,291,40,40,1.0000
IDENTITY,values,292,292,40,40,1.0000
IDENTITY,combined,291,291,80,80,1.0000
TS_2DIFF,timestamps,3750,5542,40,10,0.2500
TS_2DIFF,values,6167,7417,40,42,1.0500
TS_2DIFF,combined,6833,10000,80,54,0.6750
GORILLA,timestamps,13500,14875,40,45,1.1250
GORILLA,values,7209,8458,40,38,0.9500
GORILLA,combined,14333,12334,80,79,0.9875
BIT_PACKING,timestamps,5917,6958,40,31,0.7750
BIT_PACKING,values,8250,8917,40,45,1.1250
BIT_PACKING,combined,4958,17458,80,84,1.0500
RLE,timestamps,2167,1792,40,68,1.7000
RLE,values,2333,1833,40,80,2.0000
RLE,combined,4125,3542,80,148,1.8500
HUFFMAN,timestamps,90333,26042,40,71,1.7750
HUFFMAN,values,88125,24667,40,168,4.2000
HUFFMAN,combined,76292,37708,80,238,2.9750
DICTIONARY,timestamps,7041,5208,40,88,2.2000
DICTIONARY,values,6625,5042,40,88,2.2000
DICTIONARY,combined,8584,8000,80,168,2.1000
