algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,333,292,200,200,1.0000
IDENTITY,values,333,250,200,200,1.0000
IDENTITY,combined,459,292,400,400,1.0000
TS_2DIFF,timestamps,12042,25291,200,30,0.1500
TS_2DIFF,values,11000,19125,200,202,1.0100
TS_2DIFF,combined,5875,20792,400,234,0.5850
GORILLA,timestamps,37000,20417,200,200,1.0000
GORILLA,values,12834,13916,200,164,0.8200
GORILLA,combined,21875,27250,400,360,0.9000
BIT_PACKING,timestamps,22875,23250,200,134,0.6700
BIT_PACKING,values,7583,8709,200,202,1.0100
BIT_PACKING,combined,13167,22250,400,399,0.9975
RLE,timestamps,11041,7375,200,346,1.7300
RLE,values,9541,7791,200,398,1.9900
RLE,combined,18542,14458,400,744,1.8600
HUFFMAN,timestamps,146291,54125,200,233,1.1650
HUFFMAN,values,164250,122542,200,680,3.4000
HUFFMAN,combined,313542,169167,400,882,2.2050
DICTIONARY,timestamps,32916,24750,200,408,2.0400
DICTIONARY,values,19208,13792,200,408,2.0400
DICTIONARY,combined,22291,14833,400,808,2.0200
