encoder,compressor,target,encode_time_ns,compress_time_ns,decompress_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,final_size_bytes,encoding_ratio,final_ratio
TS_2DIFF,GZIP,timestamps,9750,11750,14000,18167,120,22,31,0.1833,0.2583
TS_2DIFF,GZIP,values,18209,93875,40500,56042,120,120,143,1.0000,1.1917
TS_2DIFF,GZIP,combined,40417,29584,29125,28416,240,146,166,0.6083,0.6917
TS_2DIFF,SNAPPY,timestamps,2084,917,792,4750,120,22,24,0.1833,0.2000
TS_2DIFF,SNAPPY,values,3125,1000,792,5542,120,120,123,1.0000,1.0250
TS_2DIFF,SNAPPY,combined,4709,1042,792,8375,240,146,142,0.6083,0.5917
TS_2DIFF,LZ4,timestamps,2375,1291,708,4209,120,22,23,0.1833,0.1917
TS_2DIFF,LZ4,values,3167,1333,666,5791,120,120,126,1.0000,1.0500
TS_2DIFF,LZ4,combined,4542,1375,709,7625,240,146,143,0.6083,0.5958
TS_2DIFF,ZLIB,timestamps,5375,5458,2750,11833,120,22,19,0.1833,0.1583
TS_2DIFF,ZLIB,values,2958,7500,2458,4917,120,120,131,1.0000,1.0917
TS_2DIFF,ZLIB,combined,3958,8125,2709,7792,240,146,154,0.6083,0.6417
GORILLA,GZIP,timestamps,19208,9875,12750,21375,120,118,131,0.9833,1.0917
GORILLA,GZIP,values,9542,10708,9458,9042,120,96,119,0.8000,0.9917
GORILLA,GZIP,combined,19792,17708,12458,25208,240,215,233,0.8958,0.9708
GORILLA,SNAPPY,timestamps,10625,1334,3083,13250,120,118,121,0.9833,1.0083
GORILLA,SNAPPY,values,9417,1250,1000,10875,120,96,99,0.8000,0.8250
GORILLA,SNAPPY,combined,18791,1209,1000,21333,240,215,219,0.8958,0.9125
GORILLA,LZ4,timestamps,9209,1750,875,11792,120,118,124,0.9833,1.0333
GORILLA,LZ4,values,8334,1583,833,10709,120,96,102,0.8000,0.8500
GORILLA,LZ4,combined,17125,1834,833,26042,240,215,221,0.8958,0.9208
GORILLA,ZLIB,timestamps,9750,8416,2875,11500,120,118,119,0.9833,0.9917
GORILLA,ZLIB,values,8500,8708,2583,10459,120,96,107,0.8000,0.8917
GORILLA,ZLIB,combined,9250,333500,23334,26458,240,215,221,0.8958,0.9208
RLE,GZIP,timestamps,6958,8000,10042,8792,120,206,77,1.7167,0.6417
RLE,GZIP,values,7292,30542,9209,9208,120,238,187,1.9833,1.5583
RLE,GZIP,combined,14125,13375,8959,17000,240,444,253,1.8500,1.0542
RLE,SNAPPY,timestamps,7000,1042,875,8459,120,206,98,1.7167,0.8167
RLE,SNAPPY,values,7500,2333,875,9041,120,238,222,1.9833,1.8500
RLE,SNAPPY,combined,35542,1333,959,17625,240,444,305,1.8500,1.2708
RLE,LZ4,timestamps,6625,1417,709,8250,120,206,81,1.7167,0.6750
RLE,LZ4,values,6958,3583,875,9208,120,238,226,1.9833,1.8833
RLE,LZ4,combined,13709,2167,917,16750,240,444,298,1.8500,1.2417
RLE,ZLIB,timestamps,6750,5583,2000,9791,120,206,65,1.7167,0.5417
RLE,ZLIB,values,7542,8958,3833,9334,120,238,175,1.9833,1.4583
RLE,ZLIB,combined,13583,10792,4292,18375,240,444,241,1.8500,1.0042
