encoder,compressor,target,encode_time_ns,compress_time_ns,decompress_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,final_size_bytes,encoding_ratio,final_ratio
TS_2DIFF,GZIP,timestamps,25292,21500,25167,59834,160,27,31,0.1688,0.1938
TS_2DIFF,GZIP,values,10375,12833,12958,17375,160,160,183,1.0000,1.1438
TS_2DIFF,GZIP,combined,10375,23750,20917,50666,320,191,209,0.5969,0.6531
TS_2DIFF,SNAPPY,timestamps,2459,1083,833,8334,160,27,15,0.1688,0.0938
TS_2DIFF,SNAPPY,values,6916,1083,834,7833,160,160,164,1.0000,1.0250
TS_2DIFF,SNAPPY,combined,5542,26458,4375,23875,320,191,182,0.5969,0.5688
TS_2DIFF,LZ4,timestamps,2458,1209,666,4959,160,27,23,0.1688,0.1438
TS_2DIFF,LZ4,values,3667,1375,666,6167,160,160,166,1.0000,1.0375
TS_2DIFF,LZ4,combined,4958,1375,667,9750,320,191,183,0.5969,0.5719
TS_2DIFF,ZLIB,timestamps,4042,5167,2584,5833,160,27,19,0.1688,0.1188
TS_2DIFF,ZLIB,values,3708,8125,2541,7375,160,160,171,1.0000,1.0688
TS_2DIFF,ZLIB,combined,7542,26625,8291,28834,320,191,197,0.5969,0.6156
GORILLA,GZIP,timestamps,26334,12000,10959,17958,160,157,163,0.9813,1.0188
GORILLA,GZIP,values,10459,11750,8333,12125,160,129,152,0.8063,0.9500
GORILLA,GZIP,combined,18834,13750,11583,23125,320,286,300,0.8938,0.9375
GORILLA,SNAPPY,timestamps,9292,958,750,11958,160,157,161,0.9813,1.0063
GORILLA,SNAPPY,values,9208,958,791,11625,160,129,133,0.8063,0.8313
GORILLA,SNAPPY,combined,18000,1041,791,21625,320,286,291,0.8938,0.9094
GORILLA,LZ4,timestamps,9334,1291,708,12042,160,157,163,0.9813,1.0188
GORILLA,LZ4,values,8625,1292,667,11333,160,129,135,0.8063,0.8438
GORILLA,LZ4,combined,21250,1375,667,21541,320,286,293,0.8938,0.9156
GORILLA,ZLIB,timestamps,11500,38667,8917,18792,160,157,151,0.9813,0.9438
GORILLA,ZLIB,values,8791,7917,2042,11750,160,129,140,0.8063,0.8750
GORILLA,ZLIB,combined,10875,11125,2625,22750,320,286,288,0.8938,0.9000
RLE,GZIP,timestamps,8209,7625,9083,10916,160,276,92,1.7250,0.5750
RLE,GZIP,values,9167,11916,9625,11708,160,318,246,1.9875,1.5375
RLE,GZIP,combined,21709,22083,19125,28666,320,594,305,1.8563,0.9531
RLE,SNAPPY,timestamps,10875,1333,1209,13583,160,276,123,1.7250,0.7688
RLE,SNAPPY,values,11708,1375,1042,14417,160,318,291,1.9875,1.8188
RLE,SNAPPY,combined,35000,2083,2875,28833,320,594,402,1.8563,1.2563
RLE,LZ4,timestamps,10959,1791,875,13792,160,276,101,1.7250,0.6313
RLE,LZ4,values,11542,2208,875,15000,160,318,296,1.9875,1.8500
RLE,LZ4,combined,25250,2291,875,29708,320,594,388,1.8563,1.2125
RLE,ZLIB,timestamps,8584,6333,2000,10917,160,276,80,1.7250,0.5000
RLE,ZLIB,values,9625,12042,4458,3416,160,318,234,1.9875,1.4625
RLE,ZLIB,combined,4250,12875,6083,5917,320,594,293,1.8563,0.9156
