algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,459,291,80,80,1.0000
IDENTITY,values,333,291,80,80,1.0000
IDENTITY,combined,292,292,160,160,1.0000
TS_2DIFF,timestamps,8542,10500,80,15,0.1875
TS_2DIFF,values,7583,11000,80,81,1.0125
TS_2DIFF,combined,6917,17000,160,98,0.6125
GORILLA,timestamps,15875,19834,80,83,1.0375
GORILLA,values,14333,13375,80,71,0.8875
GORILLA,combined,11541,24125,160,152,0.9500
BIT_PACKING,timestamps,25041,15667,80,57,0.7125
BIT_PACKING,values,3875,4292,80,84,1.0500
BIT_PACKING,combined,6333,7250,160,163,1.0188
RLE,timestamps,3958,3084,80,138,1.7250
RLE,values,7208,3167,80,160,2.0000
RLE,combined,7542,6042,160,298,1.8625
HUFFMAN,timestamps,81166,29500,80,112,1.4000
HUFFMAN,values,106208,48291,80,322,4.0250
HUFFMAN,combined,110333,72916,160,448,2.8000
DICTIONARY,timestamps,13542,9875,80,168,2.1000
DICTIONARY,values,9875,8792,80,168,2.1000
DICTIONARY,combined,14208,13541,160,328,2.0500
