algorithm,target,compress_time_ns,decompress_time_ns,original_size_bytes,compressed_size_bytes,compression_ratio
IDENTITY,timestamps,333,250,40,40,1.0000
IDENTITY,values,292,292,40,40,1.0000
IDENTITY,combined,250,250,80,80,1.0000
GZIP,timestamps,8667,11083,40,39,0.9750
GZIP,values,7875,14291,40,63,1.5750
GZIP,combined,10208,11209,80,82,1.0250
SNAPPY,timestamps,958,791,40,30,0.7500
SNAPPY,values,792,667,40,42,1.0500
SNAPPY,combined,959,708,80,66,0.8250
LZ4,timestamps,1209,708,40,33,0.8250
LZ4,values,1167,667,40,46,1.1500
LZ4,combined,1209,667,80,70,0.8750
ZLIB,timestamps,5000,2583,40,27,0.6750
ZLIB,values,5667,2417,40,51,1.2750
ZLIB,combined,6292,2834,80,70,0.8750
