algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,291,292,120,120,1.0000
IDENTITY,values,292,250,120,120,1.0000
IDENTITY,combined,333,292,240,240,1.0000
TS_2DIFF,timestamps,8667,19083,120,20,0.1667
TS_2DIFF,values,7875,17917,120,121,1.0083
TS_2DIFF,combined,6917,25833,240,143,0.5958
GORILLA,timestamps,22208,20166,120,122,1.0167
GORILLA,values,11708,17042,120,103,0.8583
GORILLA,combined,15417,22750,240,221,0.9208
BIT_PACKING,timestamps,13791,14292,120,82,0.6833
BIT_PACKING,values,4875,5417,120,124,1.0333
BIT_PACKING,combined,8792,9875,240,242,1.0083
RLE,timestamps,5833,4333,120,206,1.7167
RLE,values,6042,4708,120,240,2.0000
RLE,combined,11375,8333,240,446,1.8583
HUFFMAN,timestamps,94500,46667,120,149,1.2417
HUFFMAN,values,110541,94000,120,441,3.6750
HUFFMAN,combined,148333,105875,240,608,2.5333
DICTIONARY,timestamps,19000,13583,120,248,2.0667
DICTIONARY,values,17959,13833,120,248,2.0667
DICTIONARY,combined,33459,25583,240,488,2.0333
