algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,500,292,120,120,1.0000
IDENTITY,values,333,291,120,120,1.0000
IDENTITY,combined,333,291,240,240,1.0000
TS_2DIFF,timestamps,8667,14458,120,20,0.1667
TS_2DIFF,values,11875,19250,120,122,1.0167
TS_2DIFF,combined,10750,30042,240,144,0.6000
GORILLA,timestamps,21833,20083,120,122,1.0167
GORILLA,values,37917,17375,120,102,0.8500
GORILLA,combined,37584,31792,240,220,0.9167
BIT_PACKING,timestamps,13791,17250,120,82,0.6833
BIT_PACKING,values,5125,5666,120,124,1.0333
BIT_PACKING,combined,8834,10042,240,242,1.0083
RLE,timestamps,5500,4333,120,206,1.7167
RLE,values,6084,4458,120,238,1.9833
RLE,combined,11250,8334,240,444,1.8500
HUFFMAN,timestamps,96500,44834,120,149,1.2417
HUFFMAN,values,172416,74417,120,441,3.6750
HUFFMAN,combined,204417,107750,240,581,2.4208
DICTIONARY,timestamps,19291,14334,120,248,2.0667
DICTIONARY,values,18125,66292,120,248,2.0667
DICTIONARY,combined,32834,25834,240,488,2.0333
